Virtual User Script started at : 6/3/2014 4:44:22 PM	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 12.0.0 for Windows 8; build 1362 (Feb  2 2014 23:20:03)  	[MsgId: MMSG-27143]
Run mode: HTML  	[MsgId: MMSG-26993]
Run-Time Settings file: "C:\Users\gordona.TRUSTIV\AppData\Local\Temp\lr5tmpdirqzc.236\lrcfgvpi.237\cfgtta.238"  	[MsgId: MMSG-27141]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 2  	[MsgId: MMSG-26000]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(20): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(36): Notify: Saving Parameter "first_name = Evan".	[MsgId: MMSG-13798]
Action.c(36): Notify: Saving Parameter "last_name = Zigomalas".	[MsgId: MMSG-13798]
Action.c(36): Notify: Saving Parameter "company_name = Cap Gemini America".	[MsgId: MMSG-13798]
Action.c(36): Notify: Saving Parameter "address = 5 Binney St".	[MsgId: MMSG-13798]
Action.c(36): Notify: Saving Parameter "city = Abbey Ward".	[MsgId: MMSG-13798]
Action.c(36): Notify: Saving Parameter "county = Buckinghamshire".	[MsgId: MMSG-13798]
Action.c(36): Notify: Saving Parameter "postal = HP11 2AX".	[MsgId: MMSG-13798]
Action.c(36): Notify: Saving Parameter "phone1 = 01937-864715".	[MsgId: MMSG-13798]
Action.c(36): Notify: Saving Parameter "phone2 = 01714-737668".	[MsgId: MMSG-13798]
Action.c(36): Notify: Saving Parameter "email = evan.zigomalas@gmail.com".	[MsgId: MMSG-13798]
Action.c(36): Notify: Saving Parameter "web = http://www.capgeminiamerica.co.uk".	[MsgId: MMSG-13798]
Action.c(39): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0049 Wasted Time: 0.0043).	[MsgId: MMSG-16871]
Action.c(86): Notify: Parameter Substitution: parameter "first_name" =  "Evan"	[MsgId: MMSG-13992]
Action.c(89): Notify: Parameter Substitution: parameter "first_name" =  "Evan"	[MsgId: MMSG-13992]
Action.c(89): Notify: Parameter Substitution: parameter "last_name" =  "Zigomalas"	[MsgId: MMSG-13992]
Action.c(89): Evan Zigomalas Registered as a new customer	[MsgId: MMSG-17999]
Action.c(93): lr_think_time: 5.00 seconds.	[MsgId: MMSG-15948]
Action.c(62): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(65): Notify: Parameter Substitution: parameter "pVuserID" =  "10"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "pTimeStamp" =  "03-Jun-2014 16:44:27.615"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "first_name" =  "Evan"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "last_name" =  "Zigomalas"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "company_name" =  "Cap Gemini America"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "address" =  "5 Binney St"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "city" =  "Abbey Ward"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "county" =  "Buckinghamshire"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "postal" =  "HP11 2AX"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "phone1" =  "01937-864715"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "phone2" =  "01714-737668"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "email" =  "evan.zigomalas@gmail.com"	[MsgId: MMSG-13992]
Action.c(65): Notify: Parameter Substitution: parameter "web" =  "http://www.capgeminiamerica.co.uk"	[MsgId: MMSG-13992]
Action.c(72): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0148 Wasted Time: 0.0148).	[MsgId: MMSG-16871]
Action.c(96): Notify: Parameter Substitution: parameter "first_name" =  "Evan"	[MsgId: MMSG-13992]
Action.c(96): Notify: Parameter Substitution: parameter "last_name" =  "Zigomalas"	[MsgId: MMSG-13992]
Action.c(96): New Customer Evan Zigomalas is now awaiting approval	[MsgId: MMSG-17999]
Action.c(100): lr_think_time: 5.00 seconds.	[MsgId: MMSG-15948]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Vuser 0 (thread 4572), ended OK."	[MsgId: MMSG-10695]
